URL,Nama,Kategori,Usaha Utama,Produk Utama,Alamat,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama (Produk Masal),Target Pasar Utama (Produk Spesifik),Tingkat Pesaing Usaha,Total Aset (Juta),Penjualan Rata-Rata (Juta/Tahun),Proyeksi Pertumbuhan Penjualan (%/Tahun),Kebutuhan Pembiayaan Kredit (Juta),Nilai Aset Jaminan Kredit (Juta),Jumlah Dokumen Persyaratan Kredit
https://www.bi.go.id/bisaid/bisaid/Detail?pm=A8H36n78qXkdUNdAyDaGWg==&mp=5JdvraNzQnzSzI+hC9alEQ==,Percetakan Nabilla Mode,"Jasa Profesional, Ilmiah Dan Teknis",Usaha Utama  : Stempel,Produk Utama : Stempel,"Soekarno-Hatta Km. 1,5 No. 4 RT/RW  42/ 

                                        Kelurahan GUNUNG SAMARINDA Kecamatan BALIKPAPAN UTARA Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -",Perorangan,3.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 18,00 Juta","Rp. 300,00 Juta",- %/Tahun,"Rp. 9,00 Juta","Rp. 2,00 Juta",3
https://www.bi.go.id/bisaid/bisaid/Detail?pm=R+Dcd3fcERlWk0NzTiOJAg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Warnet Ferry,"Jasa Profesional, Ilmiah Dan Teknis",Usaha Utama  : Warnet,Produk Utama : Game Online,"A. Yani RT/RW  / 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN PESAWARAN Provinsi LAMPUNG 

                                        Telp : - Fax : -",Perorangan,1.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 30,00 Juta","Rp. 20,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 10,00 Juta",7
https://www.bi.go.id/bisaid/bisaid/Detail?pm=cgkTFQZe76Qkof6BhesbIg==&mp=2BbfzMJpZb2nANZ3GT30ng==,Sari Tailor,"Jasa Profesional, Ilmiah Dan Teknis",Usaha Utama  : Penjahit,Produk Utama : Penjahit,"Jl Arum Binang No.3 Kebumen RT/RW  40787 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN KEBUMEN Provinsi JAWA TENGAH 

                                        Telp : - Fax : -",Perorangan,6.0,Retail dan Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   60,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   40,00 %",Rendah,"Rp. 54,00 Juta","Rp. 40,00 Juta",40 %/Tahun,"Rp. 6,00 Juta","Rp. 70,00 Juta",5
https://www.bi.go.id/bisaid/bisaid/Detail?pm=Ff4CSUXC9hxKMGrbzQNLDw==&mp=fOhzApotY5QnAtxxXvjAfA==,Penjahit Simpati,"Jasa Profesional, Ilmiah Dan Teknis",Usaha Utama  : Penjahit,Produk Utama : Pakaian Jadi,"Letjend S. Parman No.20 RT/RW  23/- 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -",Perorangan,1.0,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 132,00 Juta","Rp. 180,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 165,00 Juta",5
https://www.bi.go.id/bisaid/bisaid/Detail?pm=KVsicvhFrZ7JZo0adI1Kkg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Pangkas Rambut Taulen,"Jasa Profesional, Ilmiah Dan Teknis",Usaha Utama  : Jasa Pangkas Rambut,Produk Utama : Pangkas Rambut,"Tanjung Pura  RT/RW  25/- 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -",Perorangan,1.0,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 10,08 Juta","Rp. 27,90 Juta",5 %/Tahun,"Rp. 5,00 Juta","Rp. 7,00 Juta",4
https://www.bi.go.id/bisaid/bisaid/Detail?pm=beRgqzypK6vs8yy36F9H1g==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Riyan Tailor,"Jasa Profesional, Ilmiah Dan Teknis",Usaha Utama  : Konveksi(penjahit),"Produk Utama : Baju,celana,jas","KH Dewantara No 15 RT/RW  40579 

                                        Kelurahan - Kecamatan - Kabupaten KOTA TANGERANG Provinsi BANTEN 

                                        Telp : 81316639792 Fax : -",Perorangan,2.0,Retail,"Tidak Ada   0,00 %","Tidak Ada   100,00 %",Sedang,"Rp. 9,00 Juta","Rp. 44,40 Juta",25 %/Tahun,"Rp. 5,00 Juta","Rp. 3,00 Juta",4
https://www.bi.go.id/bisaid/bisaid/Detail?pm=GmYYJs5qM2oHXekbqxOy3Q==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Pangkas Rambut Hidayah,"Jasa Profesional, Ilmiah Dan Teknis",Usaha Utama  : Pangkas Rambut,Produk Utama : Pangkas Rambut,"Basuki Rahmat KM 8 RT/RW  1/8/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA SORONG Provinsi PAPUA BARAT 

                                        Telp : 82199026675 Fax : -",Perorangan,2.0,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Rendah,"Rp. 60,00 Juta","Rp. 48,00 Juta",20 %/Tahun,"Rp. 4,00 Juta","Rp. 12,00 Juta",6
https://www.bi.go.id/bisaid/bisaid/Detail?pm=DJOXEW46uKrym0l9O0gKNA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Penjahit Sanora Art,"Jasa Profesional, Ilmiah Dan Teknis",Usaha Utama  : Penjahit Pakaian Adaat,Produk Utama : Pakaian Adat,"Sudirman RT/RW  0/0 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN NIAS SELATAN Provinsi SUMATERA UTARA 

                                        Telp : 0 Fax : -",Perorangan,4.0,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   40,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   60,00 %",Sedang,"Rp. 16,00 Juta","Rp. 216,00 Juta",20 %/Tahun,"Rp. 0,00 Juta","Rp. 8,00 Juta",4
https://www.bi.go.id/bisaid/bisaid/Detail?pm=cL9FSh1Sggxzm2vH00GHvg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Tailor Mira Colection,"Jasa Profesional, Ilmiah Dan Teknis",Usaha Utama  : Tailor,"Produk Utama : Baju,celana,permax,dll","Pahlawan RT/RW  3/4/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA SORONG Provinsi PAPUA BARAT 

                                        Telp : - Fax : -",Perorangan,3.0,Retail,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Sedang,"Rp. 29,00 Juta","Rp. 204,00 Juta",30 %/Tahun,"Rp. 0,00 Juta","Rp. 340,00 Juta",7
https://www.bi.go.id/bisaid/bisaid/Detail?pm=NZw/1hGljm99Cq63lkIIqw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,AKMAL TAILOR,"Jasa Profesional, Ilmiah Dan Teknis",Usaha Utama  : PENJAHIT PAKAIAN,Produk Utama : -,"SMU/PANDEGLANG,CIGADUNG PANDEGLANG RT/RW  1/13/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN PANDEGLANG Provinsi BANTEN 

                                        Telp : - Fax : -",Perorangan,1.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 2,70 Juta","Rp. 17,40 Juta",40 %/Tahun,"Rp. 0,00 Juta","Rp. 65,00 Juta",5
https://www.bi.go.id/bisaid/bisaid/Detail?pm=SxCoXIY9tAsDLPOfMyDCXw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Salon Umi,"Jasa Profesional, Ilmiah Dan Teknis",Usaha Utama  : Salon Umi,Produk Utama : Makarizo,"Milono No. 49 RT/RW  45/- 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : 0542 5602725 Fax : -",Perorangan,1.0,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 31,80 Juta","Rp. 204,00 Juta",5 %/Tahun,"Rp. 10,00 Juta","Rp. 5,00 Juta",5
https://www.bi.go.id/bisaid/bisaid/Detail?pm=wsB8Sr5xY/ClVnT2zcc6GQ==&mp=tFF9KAXBbci/UefzhiAg3g==,Rental Hamka,Kegiatan Jasa Lainnya,Usaha Utama  : Jasa,Produk Utama : Kaset,"Nangka RT/RW  14/04 

                                        Kelurahan - Kecamatan AIMAS Kabupaten KABUPATEN SORONG Provinsi PAPUA BARAT 

                                        Telp : - Fax : -",Perorangan,1.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 26,20 Juta","Rp. 18,20 Juta",- %/Tahun,"Rp. 8,00 Juta","Rp. 2.010,00 Juta",4.0
https://www.bi.go.id/bisaid/bisaid/Detail?pm=0yTVQwvrPimS3PFPxCgauA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Bengkel Nuralim,Kegiatan Jasa Lainnya,Usaha Utama  : Tambal Ban,Produk Utama : Bandalam,"Ahmad Yani RT/RW  / 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN PESAWARAN Provinsi LAMPUNG 

                                        Telp : - Fax : -",Perorangan,0.0,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 93,00 Juta","Rp. 30,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 30,00 Juta",7.0
https://www.bi.go.id/bisaid/bisaid/Detail?pm=WkSIE9QmpU/v1ZMz6UGSYQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Wisma Kita,Kegiatan Jasa Lainnya,Usaha Utama  : Wisma,Produk Utama : Kamar Wisma,"Wiyata RT/RW  22/ 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -",Perorangan,1.0,Retail,"Tidak Ada   0,00 %","Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %",Rendah,"Rp. 158,35 Juta","Rp. 15,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 50,00 Juta",3.0
https://www.bi.go.id/bisaid/bisaid/Detail?pm=oKTExik1ebI+dV1U3AOJ/w==&mp=JHuIBacQ7Iz+a8xx8lclUA==,SALON DAHLIA,Kegiatan Jasa Lainnya,Usaha Utama  : SALON,Produk Utama : PAKAIAN PERKAWINAN,"GIRIAN INDAH RT/RW  1/5/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BITUNG Provinsi SULAWESI UTARA 

                                        Telp : - Fax : -",Perorangan,2.0,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Tinggi,"Rp. 55,50 Juta","Rp. 18,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 55,00 Juta",1.0
https://www.bi.go.id/bisaid/bisaid/Detail?pm=zj8b6uzERja2Q0aL13Zmyw==&mp=xI6rAeQkygTAn3Z625IGLg==,Global Elektronic Service,Kegiatan Jasa Lainnya,Usaha Utama  : Service Dan Jual Beli Elektronic,Produk Utama : Elektronic,"Simpang 4 Nudi Exxon Mobile RT/RW  / 

                                        Kelurahan - Kecamatan MEURAH MULIA Kabupaten KABUPATEN ACEH UTARA Provinsi ACEH 

                                        Telp : 85263910789 Fax : -",Perorangan,4.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 89,80 Juta","Rp. 468,00 Juta",- %/Tahun,"Rp. 0,00 Juta","Rp. 219,00 Juta",7.0
https://www.bi.go.id/bisaid/bisaid/Detail?pm=ovIPTr0IzPNfks/WuV91IQ==&mp=Q47xnX4Fmgxfelhgew2rrQ==,Kios Pulsa Utami,Kegiatan Jasa Lainnya,Usaha Utama  : Perdagangan Pulsa,Produk Utama : Pulsa,"S Parman RT/RW  / 

                                        Kelurahan - Kecamatan BALIKPAPAN TENGAH Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -",Perorangan,1.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 16,36 Juta","Rp. 16,80 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 15,00 Juta",5.0
https://www.bi.go.id/bisaid/bisaid/Detail?pm=NOKK+5WVTcfaoUHFBIf+OQ==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Penjahit Leman,Kegiatan Jasa Lainnya,Usaha Utama  : Penjahit,Produk Utama : Pakaian Jadi,"Sutan Syahrir RT/RW  24/10 

                                        Kelurahan - Kecamatan - Kabupaten KOTA METRO Provinsi LAMPUNG 

                                        Telp : - Fax : -",Perorangan,2.0,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Rendah,"Rp. 95,00 Juta","Rp. 78,00 Juta",15 %/Tahun,"Rp. 7,00 Juta","Rp. 10,00 Juta",4.0
https://www.bi.go.id/bisaid/bisaid/Detail?pm=osUtUBkoFJKU5qBvhrBKsQ==&mp=Q47xnX4Fmgxfelhgew2rrQ==,Warkop,Kegiatan Jasa Lainnya,Usaha Utama  : Bensin,Produk Utama : Bensin,"Siaga RT/RW  23/ 

                                        Kelurahan - Kecamatan BALIKPAPAN SELATAN Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -",Perorangan,2.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 60,61 Juta","Rp. 60,48 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 50,00 Juta",5.0
https://www.bi.go.id/bisaid/bisaid/Detail?pm=I2tLj7QrROdFF05BVekfRQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Penjahit Abadi,Kegiatan Jasa Lainnya,Usaha Utama  : Penjahitan,Produk Utama : Pakaian,"Trikora Sowi II RT/RW  2/4/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN MANOKWARI Provinsi PAPUA BARAT 

                                        Telp : - Fax : -",Perorangan,1.0,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Rendah,"Rp. 240,00 Juta","Rp. 33,00 Juta",20 %/Tahun,"Rp. 0,00 Juta","Rp. 32,00 Juta",4.0
https://www.bi.go.id/bisaid/bisaid/Detail?pm=NTUKTjKlttix9Zrf6qielg==&mp=fOhzApotY5QnAtxxXvjAfA==,Laundryque,Kegiatan Jasa Lainnya,Usaha Utama  : Laundry,Produk Utama : Pakaian Bersih,"Sumberjo I No.32 RT/RW  34/- 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -",Perorangan,2.0,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 42,00 Juta","Rp. 72,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 5,00 Juta",4.0
https://www.bi.go.id/bisaid/bisaid/Detail?pm=ofqWwloV06ajNrIZCJrUVg==&mp=Q47xnX4Fmgxfelhgew2rrQ==,Penjahit Kurnia,Kegiatan Jasa Lainnya,Usaha Utama  : Penjahit,Produk Utama : Baju Seragam,"Rumah Sakit No 01 RT/RW  2/11/2020 

                                        Kelurahan TANJUNGPINANG KOTA Kecamatan TANJUNGPINANG KOTA Kabupaten KOTA TANJUNG PINANG Provinsi KEPULAUAN RIAU 

                                        Telp : - Fax : -",Perorangan,1.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   80,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   20,00 %",Sedang,"Rp. 51,00 Juta","Rp. 72,00 Juta",- %/Tahun,"Rp. 9,00 Juta","Rp. 106,00 Juta",6.0
https://www.bi.go.id/bisaid/bisaid/Detail?pm=7r4UPidT46Vd98NkFqgNMQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Rapy Collection,Kegiatan Jasa Lainnya,Usaha Utama  : Menjahit Pakaian,Produk Utama : Jasa Jahit Baju,"Ir H Juanda RT/RW  33/ 

                                        Kelurahan - Kecamatan - Kabupaten KOTA JAMBI Provinsi JAMBI 

                                        Telp : - Fax : -",Perorangan,3.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 17,50 Juta","Rp. 162,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 160,00 Juta",5.0
